external_id,date,type,distance,duration,avg_hr,max_hr,cadence,elevation,training_effect,aerobic_effect,anaerobic_effect,notes
1001,2026-01-18,running,18.0,113,142,160,170,120,135,3.4,0.4,
1002,2026-01-21,running,10.0,55,156,171,176,45,110,2.9,1.3,Tempo blocks felt controlled
1003,2026-01-23,walking,5.2,48,104,121,108,20,20,0.6,0.0,
1004,2026-01-25,running,22.0,132,145,163,171,160,168,3.8,0.3,
1005,2026-01-28,running,8.0,43,150,167,178,38,82,2.4,0.8,
1006,2026-01-31,running,14.0,80,148,166,172,92,118,2.8,0.7,
1007,2026-02-02,cycling,28.0,64,133,149,88,110,60,1.8,0.1,
1008,2026-02-04,running,12.0,62,159,176,180,52,122,2.7,1.5,Threshold reps
1009,2026-02-08,running,24.0,143,146,164,171,175,176,4.0,0.4,
1010,2026-02-11,running,9.5,51,151,170,178,42,90,2.5,1.1,
1011,2026-02-15,running,26.0,152,147,165,172,188,184,4.2,0.4,Longest run so far
1012,2026-02-18,running,11.0,58,160,178,181,44,118,2.8,1.6,
1013,2026-02-22,running,16.0,92,149,167,174,95,136,3.0,0.8,
1014,2026-02-25,running,10.0,52,153,171,179,40,96,2.6,1.1,
1015,2026-03-01,running,28.0,165,148,166,173,210,196,4.4,0.5,
1016,2026-03-04,running,12.0,61,157,175,180,58,118,2.9,1.4,
1017,2026-03-08,running,18.0,102,144,162,172,118,142,3.2,0.5,
1018,2026-03-11,running,8.0,41,152,169,181,36,84,2.3,1.0,
1019,2026-03-13,walking,6.0,56,101,117,110,18,18,0.5,0.0,
1020,2026-03-15,running,21.1,118,150,168,176,130,170,3.7,0.9,Half running simulation
