date,sleep_duration,sleep_score,resting_hr,hrv,stress,body_battery,recovery_time,vo2max
2026-02-16,7.3,76,48,64,29,72,18,48.2
2026-02-17,7.1,74,49,62,31,69,21,48.2
2026-02-18,6.8,69,51,58,37,62,30,48.3
2026-02-19,7.5,78,48,65,28,75,16,48.3
2026-02-20,7.7,80,47,66,24,80,12,48.4
2026-02-21,7.2,73,49,61,32,68,20,48.4
2026-02-22,7.0,72,50,60,35,64,24,48.4
2026-02-23,7.6,79,47,67,25,79,14,48.5
2026-02-24,7.8,81,47,68,23,82,10,48.5
2026-02-25,7.1,74,49,62,31,70,18,48.6
2026-02-26,6.9,70,50,59,36,63,28,48.6
2026-02-27,7.4,77,48,64,27,76,15,48.7
2026-02-28,7.9,83,46,69,22,84,8,48.8
2026-03-01,7.0,71,50,58,39,61,34,48.8
2026-03-02,6.7,68,52,56,42,55,38,48.8
2026-03-03,7.5,78,48,64,28,74,17,48.9
2026-03-04,7.2,75,49,62,30,71,19,49.0
2026-03-05,7.4,77,48,63,28,75,16,49.0
2026-03-06,7.8,82,47,67,24,83,9,49.1
2026-03-07,7.6,79,47,66,25,81,12,49.1
2026-03-08,7.1,73,49,61,32,69,20,49.2
2026-03-09,6.8,70,51,57,38,60,31,49.2
2026-03-10,7.5,78,48,64,27,77,15,49.3
2026-03-11,7.3,76,48,63,29,73,17,49.4
2026-03-12,7.7,80,47,66,24,80,11,49.5
2026-03-13,8.0,84,46,70,21,86,7,49.6
2026-03-14,7.6,79,47,68,24,82,9,49.7
2026-03-15,7.2,75,48,65,28,76,14,49.8
